source_center,source_name,destination_center,destination_name,median_delay_ratio,total_delay_minutes,sla_breach_count,total_trips
IND000000AAL,Pune_PC (Maharashtra),IND411033AAA,Pune_Tathawde_H (Maharashtra),2.4699999999999998,715,14,14
IND000000AAS,Bongaigaon_Chpaguri_D (Assam),IND783370AAC,Kokrajhar_PigonDPP_D (Assam),1.7096774193548387,288,9,9
IND000000AAZ,Buldhana_Thsil3PL_D (Maharashtra),IND444203AAA,Shegaon_SChwkDPP_D (Maharashtra),5.8979591836734695,241,1,1
IND000000AAZ,Buldhana_Thsil3PL_D (Maharashtra),IND444303AAA,Khamgaon_WamanDPP_D (Maharashtra),3.902439024390244,120,1,1
IND000000ABA,Cochin_Chtrpuza_D (Kerala),IND683565AAA,Kunnathund_Pringla_D (Kerala),0.9565217391304348,9,1,5
IND000000ABD,Pallakad_ChndrNgr_D (Kerala),IND562132AAA,Bangalore_Nelmngla_H (Karnataka),1.6994609164420484,3364,12,12
IND000000ABG,Hyderabad_Bownplly_C (Telangana),IND501359AAF,Hyderabad_Shamshbd_P (Telangana),7.275862068965517,1611,9,9
IND000000ACA,Ludhiana_MilrGanj_HB (Punjab),IND140406AAA,SirhindFatehgarh_DC (Punjab),1.7105263157894737,56,2,2
IND000000ACA,Ludhiana_MilrGanj_HB (Punjab),IND142001AAB,Moga_DPC (Punjab),1.717982456140351,340,8,8
IND000000ACA,Ludhiana_MilrGanj_HB (Punjab),IND142401AAA,Khanna_DC (Punjab),2.2432712215320914,250,5,6
IND000000ACA,Ludhiana_MilrGanj_HB (Punjab),IND143001AAA,Amritsar_DPC (Punjab),1.6875,78,1,1
IND000000ACA,Ludhiana_MilrGanj_HB (Punjab),IND144001AAB,Jalandhar_DPC (Punjab),1.57,519,14,14
IND000000ACA,Ludhiana_MilrGanj_HB (Punjab),IND144514AAA,Nawanshahr_DC (Punjab),1.7890625,858,10,12
IND000000ACA,Ludhiana_MilrGanj_HB (Punjab),IND147301AAA,Mandi_Gobindgarh_DC (Punjab),2.343045112781955,98,2,2
IND000000ACA,Ludhiana_MilrGanj_HB (Punjab),IND152026AAA,Muktsar_DPC (Punjab),1.5169491525423728,62,1,1
IND000000ACA,Ludhiana_MilrGanj_HB (Punjab),IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),2.047123015873016,4361,60,60
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND000000AEL,Delhi_PunjabiB_L (Delhi),1.796875,1273,17,17
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND110024AAA,Delhi_Lajpat_IP (Delhi),2.045783926218709,398,6,6
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND110030AAD,Delhi_Kishangarh_DPC (Delhi),1.613921568627451,960,21,22
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND110037AAK,Delhi_Kapshera_L (Delhi),1.667140825035562,902,26,26
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND110043AAA,Delhi_Nangli_IP (Delhi),2.06612685560054,533,10,10
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND110043AAC,Delhi_Nangli_L (Delhi),1.8703703703703705,485,9,9
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND110052AAA,Delhi_Wazirpur_L (Delhi),1.3260535557506585,46,2,2
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND110064AAA,Delhi_Mayapuri_PC (Delhi),1.5173951828724355,1697,34,38
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND110085AAB,Delhi_Rohini_DPC (Delhi),1.548733604703754,734,18,18
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND110092AAC,Delhi_Patparganj_DPC (Delhi),1.635135135135135,198,5,5
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND110095AAB,Delhi_Jhilmil_L (Delhi),1.8487012987012987,2369,14,26
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND121002AAB,Faridabad_Mthurard_L (Haryana),1.8815847234416152,2902,38,38
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND121004AAB,FBD_Balabhgarh_DPC (Haryana),1.7761194029850746,1449,23,23
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND122001AAA,GGN_DPC (Haryana),1.6,974,37,39
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND122015AAC,Unknown Destination,2.376190476190476,100,2,2
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND124103AAA,Jhajjar_DC (Haryana),1.7659574468085109,444,10,10
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND124112AAA,Meham_GModDPP_D (Haryana),2.0434782608695654,615,5,5
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND125001AAA,Hisar_ModelTwn_P (Haryana),2.074210239651416,2126,14,14
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND125005AAA,Hisar_IndstlAr_I (Haryana),1.937956204379562,535,4,4
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND125033AAA,Hansi_DelRdDPP_D (Haryana),2.2670324328078335,306,2,2
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND127021AAA,Bhiwani_DC (Haryana),1.6666666666666667,69,1,1
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND131028AAB,Sonipat_Kundli_H (Haryana),2.061224489795918,8666,73,73
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),2.0849056603773586,10698,40,41
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND201007AAA,GZB_Mohan_Nagar_DPC (Uttar Pradesh),1.5769230769230769,440,7,9
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND201301AAF,Noida_Sec 02_DPC (Uttar Pradesh),1.4074074074074074,462,7,9
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND201301AAM,Noida_Sector63_L (Uttar Pradesh),2.4390243902439024,3591,27,27
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND209304AAA,Kanpur_Central_H_6 (Uttar Pradesh),2.2639751552795033,4260,10,10
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND282002AAD,Unknown Destination,2.058394160583941,480,3,3
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND301001AAB,Alwar_Central_I_1 (Rajasthan),1.6956521739130435,518,6,6
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND301705AAA,Neemrana_Rcocmplx_D (Rajasthan),3.684210526315789,154,1,1
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND302014AAA,Jaipur_Hub (Rajasthan),1.8941176470588235,3643,24,24
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND302022AAD,Jaipur_RIICO_L (Rajasthan),1.6803405572755419,1757,14,14
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND328001AAA,Dholpur_GtRoad_D (Rajasthan),1.809045226130653,815,5,5
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND382430AAB,Ahmedabad_East_H_1 (Gujarat),1.800947867298578,6925,13,13
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND390022AAA,Vadodara_Karelibaug_DPC (Gujarat),1.7900831059290496,4669,8,8
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND411033AAA,Pune_Tathawde_H (Maharashtra),1.7401185770750989,11563,15,15
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),1.9305032309438874,24006,26,26
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND462022AAA,Bhopal_Trnsport_H (Madhya Pradesh),1.8422275617967827,5960,12,12
