node_id,name,in_degree,out_degree,betweenness_centrality,clustering_coefficient,source_center,src_delay_minutes,src_sla_breaches,src_trips,destination_center,dest_delay_minutes,dest_sla_breaches,dest_trips,total_delay_minutes,total_sla_breaches,total_trips_handled,betweenness_rank,delay_rank,composite_rank
IND209304AAA,Kanpur_Central_H_6 (Uttar Pradesh),15,13,0.03281562754560279,0.021645021645021644,IND209304AAA,16456.0,112.0,138.0,IND209304AAA,35849.0,111.0,111.0,52305.0,223.0,249.0,12.0,13.0,12.5
IND462022AAA,Bhopal_Trnsport_H (Madhya Pradesh),13,9,0.02631988535935242,0.0718954248366013,IND462022AAA,17864.0,74.0,74.0,IND462022AAA,30768.0,89.0,89.0,48632.0,163.0,163.0,15.0,14.0,14.5
IND561203AAB,Doddablpur_ChikaDPP_D (Karnataka),1,1,0.0012328936501419553,0.0,IND561203AAB,132.0,9.0,9.0,IND561203AAB,339.0,8.0,8.0,471.0,17.0,17.0,272.5,900.5,586.5
IND572101AAA,Tumkur_Veersagr_I (Karnataka),2,1,0.001643065597392654,0.0,IND572101AAA,339.0,8.0,8.0,IND572101AAA,156.0,2.0,4.0,495.0,10.0,12.0,205.0,875.5,540.25
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),41,48,0.22015170371190915,0.03884711779448621,IND000000ACB,299751.0,753.0,777.0,IND000000ACB,198954.0,656.0,694.0,498705.0,1409.0,1471.0,1.0,1.0,1.0
IND562132AAA,Bangalore_Nelmngla_H (Karnataka),36,35,0.1250041269324418,0.050170068027210885,IND562132AAA,117025.0,551.0,574.0,IND562132AAA,141362.0,480.0,512.0,258387.0,1031.0,1086.0,2.0,2.0,2.0
IND400072AAB,Mumbai Hub (Maharashtra),11,9,0.005097403746848212,0.07692307692307693,IND400072AAB,8910.0,189.0,189.0,IND400072AAB,6747.0,161.0,161.0,15657.0,350.0,350.0,70.0,31.0,50.5
IND583101AAA,Bellary_Dc (Karnataka),3,2,0.004061296729879382,0.16666666666666666,IND583101AAA,1364.0,21.0,21.0,IND583101AAA,2325.0,18.0,18.0,3689.0,39.0,39.0,88.0,125.0,106.5
IND583119AAA,Sandur_WrdN1DPP_D (Karnataka),1,1,0.0,1.0,IND583119AAA,937.0,7.0,7.0,IND583119AAA,368.0,7.0,7.0,1305.0,14.0,14.0,1290.0,374.0,832.0
IND583201AAA,Hospet (Karnataka),2,3,0.0020346113789227894,0.3333333333333333,IND583201AAA,785.0,19.0,19.0,IND583201AAA,1267.0,21.0,21.0,2052.0,40.0,40.0,184.0,237.0,210.5
